<|showerthought|>If you go to the gym and you’re not doing well, you’re not doing well<|endoftext|> 
<|showerthought|>The most expensive part of the car is the engine.<|endoftext|> 
<|showerthought|>If you don't know what the word 'cute' is, you probably haven't been around a lot of cute people.<|endoftext|> 
<|showerthought|>We will be the last generation to have to deal with the consequences of our actions.<|endoftext|> 
<|showerthought|>A person who is born with a twin brother is a brother to both his mother and his father.<|endoftext|> 
<|showerthought|>If people want to be a good parent they’re going to have to be a good parent themselves.<|endoftext|> 
<|showerthought|>The fact that we can’t see the inside of our eyelids is probably a good indicator that our eyes are not actually closed<|endoftext|> 
<|showerthought|>You can tell a lot about a person by how they treat the elderly, the disabled, and the poor, but not about the rich and famous.<|endoftext|> 
<|showerthought|>If people were to have the ability to teleport, we would probably see people who were in the middle of the street, walking in a circle<|endoftext|> 
<|showerthought|>Dying at 60 years old is a lot more painful than dying at 60 years old.<|endoftext|> 
<|showerthought|>Somebody has probably had sex in the same bed as a murderer and never known.<|endoftext|> 
<|showerthought|>If someone says “you are the reason why I’m depressed”, they are actually saying “I am the reason why I’m depressed”.<|endoftext|> 
<|showerthought|>The fact that we have to pay for the internet and cable is the same as the fact that we have to pay for a car and a house to live in. We pay for them both to exist, but we have to live in one.<|endoftext|> 
<|showerthought|>If you're a woman and you have a child, your child will be the first person to ever have sex.<|endoftext|> 
<|showerthought|>You could get away with a lot more things if your parents didn't have kids.<|endoftext|> 
<|showerthought|>The person who invented the first camera must have had a lot of fun.<|endoftext|> 
<|showerthought|>It's crazy how we can't see a single thing in our lives, but we can see everything in our lives. We're just so good at not seeing it.<|endoftext|> 
<|showerthought|>If you put the word "toxic" in a sentence it's a toxic word. If it's in an article, it's a toxic article. If you put the word "unhealthy" in a sentence it's a unhealthy article.<|endoftext|> 
<|showerthought|>The more you know about a subject, the less you understand about it.<|endoftext|> 
<|showerthought|>Every day is your birthday.<|endoftext|> 
<|showerthought|>If a person is a good person they are a bad person. If a person is not a good person they are a bad person. If a person is a bad person they are a bad person. But if a person is a good person they are a bad person. If a person is not a good person they are a bad person. But if a person is not a good person they are a good person.<|endoftext|> 
<|showerthought|>The people we see on TV are the same people that we see in real life<|endoftext|> 
<|showerthought|>The average human has a penis that is about 2 inches long.<|endoftext|> 
<|showerthought|>If you can’t remember your password, you probably have a good password.<|endoftext|> 
<|showerthought|>It’s a good thing that we have a lot of water in the world.<|endoftext|> 
<|showerthought|>No matter how much you try you will never see a full moon.<|endoftext|> 
<|showerthought|>If your dog is a bitch, you’re a bitch too.<|endoftext|> 
<|showerthought|>We can't imagine the world without our eyes, yet our brain can't comprehend it without them.<|endoftext|> 
<|showerthought|>If we’ve ever been in the same room with the same people, we’ve all been in a dream.<|endoftext|> 
<|showerthought|>A good friend is a good friend because they are a friend.<|endoftext|> 
<|showerthought|>The person who discovered that the human brain named itself was probably the same person who discovered that the human body named itself.<|endoftext|> 
<|showerthought|>We've been living in the past for so long that we can’t imagine a new day.<|endoftext|> 
<|showerthought|>It’s possible that the first human to ever have sex was a virgin.<|endoftext|> 
<|showerthought|>Dogs must have really good hearing<|endoftext|> 
<|showerthought|>Your parents are the only ones who can tell you when they are having sex.<|endoftext|> 
<|showerthought|>If you take the average number of people in a room, you can calculate how many people there are in the entire world.<|endoftext|> 
<|showerthought|>Dryer lint is a lot more disgusting than wet lint<|endoftext|> 
<|showerthought|>You probably get more bang for your buck when you’re a prostitute than a regular prostitute<|endoftext|> 
<|showerthought|>Most people who are born with a penis are born with the most balls.<|endoftext|> 
<|showerthought|>Since a lot of people are allergic to the sun, it’s possible that some people are allergic to the sun’s rays.<|endoftext|> 
<|showerthought|>Most people think that the world will end in a few years, but most of us will die before that happens<|endoftext|> 
<|showerthought|>A person who has a good sense of humor is a person who knows how to laugh<|endoftext|> 
<|showerthought|>When you see a car with the license plate "Cars", it is technically a car with an expired plate.<|endoftext|> 
<|showerthought|>It's weird how you can't tell if a movie is about a real person or a fake person.<|endoftext|> 
<|showerthought|>The reason that the average number of legs is less than the number of arms is because the average human has less than 2 legs.<|endoftext|> 
<|showerthought|>When an AI takes over the world, it will probably be a very different world than it was before.<|endoftext|> 
<|showerthought|>There is no such thing as a "bad" person, only a bad person.<|endoftext|> 
<|showerthought|>There are so many things we don't understand about the universe that are the result of our ignorance<|endoftext|> 
<|showerthought|>It’s possible that you’ve been to more places than you’ve been to in your life.<|endoftext|> 
<|showerthought|>The first human to ever live was the first to die.<|endoftext|> 
<|showerthought|>If the earth is flat, the sun is actually a sphere.<|endoftext|> 
<|showerthought|>There's no way to tell if a person is a masochist or not<|endoftext|> 
<|showerthought|>A lot of people are scared of being alone in the dark because they don't know how to deal with it.<|endoftext|> 
<|showerthought|>Somewhere out there, a person has probably had sex with a ghost.<|endoftext|> 
<|showerthought|>It seems like the only thing you have to worry about is the fact that your phone is on the charger.<|endoftext|> 
<|showerthought|>If you ever feel like you’re not getting enough attention from people, you can’t blame it on the fact that your parents don’t give you the attention that you deserve.<|endoftext|> 
<|showerthought|>If you take a picture of someone and put a mirror on them, they are technically a mirror image<|endoftext|> 
<|showerthought|>If the moon was the size of a planet and we had a moon-sized camera on earth, it would probably be the most accurate picture of earth we have.<|endoftext|> 
<|showerthought|>There is a good chance that you've seen the same person twice in your life.<|endoftext|> 
<|showerthought|>The most expensive thing in the world is the most useless.<|endoftext|> 
<|showerthought|>If you're not a fan of a song you're not a fan of it. If you're not a fan of a movie you're not a fan of it. If you're not a fan of a book, you're not a fan of it.<|endoftext|> 
<|showerthought|>A blind person is a blind person with glasses.<|endoftext|> 
<|showerthought|>There’s a chance that someone has seen you in the background of a picture and you’ve never known.<|endoftext|> 
<|showerthought|>In the end, we all just want to die<|endoftext|> 
<|showerthought|>If you're a woman, you’re probably the most attractive person in the world.<|endoftext|> 
<|showerthought|>A person wearing a mask is a human submarine<|endoftext|> 
<|showerthought|>It would make more sense to have a "WTF" section on the internet than a "What the fuck is going on?" section.<|endoftext|> 
<|showerthought|>There is no reason for the sun and moon to have the same brightness<|endoftext|> 
<|showerthought|>If a person has the power to make a person's body go to hell, then that person is a hell-spawn<|endoftext|> 
<|showerthought|>You’re probably the only person who knows the exact moment you died, and you’ll never know it.<|endoftext|> 
<|showerthought|>If you are a woman, you’re probably more attractive than a man<|endoftext|> 
<|showerthought|>No matter how good you are at a sport, you will never be the fastest.<|endoftext|> 
<|showerthought|>In movies where people have to wear masks, they are always in their underwear. In real life, they are never in their underwear.<|endoftext|> 
<|showerthought|>The only way to be a good parent is to not be one.<|endoftext|> 
<|showerthought|>The number of people older than you is the same as the number of people younger than you<|endoftext|> 
<|showerthought|>If you are a man and you are born with a penis, your penis is the only part of you that has ever had a chance to be born.<|endoftext|> 
<|showerthought|>The fact that we are able to create a new word for the word "breath" shows that the human brain is the most complex thing in the universe.<|endoftext|> 
<|showerthought|>If a car is going 100 mph, then it is a speedometer. If a person is going faster than that, then they are a speedometer.<|endoftext|> 
<|showerthought|>Most of the world's problems can be solved by just having more money.<|endoftext|> 
<|showerthought|>You're not afraid of the unknown. It's fear of what's not known.<|endoftext|> 
<|showerthought|>Cats are the only mammals to have the same body parts as humans.<|endoftext|> 
<|showerthought|>If the internet was a thing, we would probably have a lot less people posting on it<|endoftext|> 
<|showerthought|>You're either the smartest person or dumbest person in a room full of smart people.<|endoftext|> 
<|showerthought|>People who want a good life but can't afford to live in a nice place are probably living in a bad place.<|endoftext|> 
<|showerthought|>We have never seen an actual human being with their head facing the sun. It’s just like we have no idea what it feels like to have your head facing the moon or the earth.<|endoftext|> 
<|showerthought|>It must be really hard to be a good actor if you're a good actor<|endoftext|> 
<|showerthought|>Saying “I’m not gay” is the same as saying “I am not gay”.<|endoftext|> 
<|showerthought|>If you've ever been on a train or bus, you know how loud and obnoxious the passengers are. But if you've ever been in a car and you've ever been on a train or bus, you know how quiet and obnoxious the drivers are<|endoftext|> 
<|showerthought|>You can go to a funeral and not have to worry about being remembered.<|endoftext|> 
<|showerthought|>If you've ever had a dream about your parents, it's probably a dream about them.<|endoftext|> 
<|showerthought|>If you have an itch that is painful, it is technically a pain in the ass<|endoftext|> 
<|showerthought|>The reason we can’t have an open discussion about anything in life is that we’ve all been conditioned to be the same person.<|endoftext|> 
<|showerthought|>The difference between a good and bad person is whether or not they have a good or bad conscience.<|endoftext|> 
<|showerthought|>You know the movie “Cars” is a good movie when the car is the main character<|endoftext|> 
<|showerthought|>If you have a dog, you’re probably not the only dog who has a dog problem.<|endoftext|> 
<|showerthought|>The world is full of people who have never had a good day.<|endoftext|> 
<|showerthought|>If you had a perfect life, you would probably never have to worry about your life.<|endoftext|> 
<|showerthought|>The last few years has been a lot like a movie where the characters are all wearing the same clothes.<|endoftext|> 
<|showerthought|>In the Harry Potter universe, the Ministry of Magic is a secret society that is run by a secret society<|endoftext|> 
<|showerthought|>It’s not that we don’t know what we know, it’s just that we don’t know what we know.<|endoftext|> 
<|showerthought|>Most of modern technology is based on ancient ideas and technology.<|endoftext|> 
<|showerthought|>There is a possibility that a lot of people have been in the same room as you, but you have no idea.<|endoftext|> 
<|showerthought|>Criminals are the most likely to be successful because they have the most money.<|endoftext|> 
<|showerthought|>If someone is a good person, they’re a good person.<|endoftext|> 
<|showerthought|>Most women can't get pregnant, but most men can't get laid.<|endoftext|> 
<|showerthought|>It’s not the size of the penis that matters, but the quality<|endoftext|> 
<|showerthought|>The more you think about it, it is more likely that you have been to the same place twice.<|endoftext|> 
<|showerthought|>There's no such thing as a bad person, just bad luck<|endoftext|> 
<|showerthought|>If you’re not wearing a mask you’re not wearing a mask.<|endoftext|> 
<|showerthought|>The people that make the most money are the people with the least money.<|endoftext|> 
<|showerthought|>The fact that we have to pay for a subscription to a service like Netflix is a pretty good sign that the subscription is a scam.<|endoftext|> 
<|showerthought|>There's a possibility that someone you've met online has been murdered and you just don't know it<|endoftext|> 
<|showerthought|>There’s no way to know if you’ve ever seen the same person as someone else.<|endoftext|> 
<|showerthought|>When you get a haircut it’s like getting your hair trimmed. You get a haircut and you have to get your hair trimmed<|endoftext|> 
<|showerthought|>You know it's a good movie if it's not a horror movie.<|endoftext|> 
<|showerthought|>The reason why we don't see the same faces as the ones in our dreams is because our brains don't recognize the faces we've seen in our dreams.<|endoftext|> 
<|showerthought|>The fact that we can't see the sun with the naked eye is a good thing.<|endoftext|> 
<|showerthought|>If you take a photo with a phone and put it on a mirror it’s a photo of you<|endoftext|> 
<|showerthought|>We’re lucky that the sun doesn’t explode in our face.<|endoftext|> 
<|showerthought|>We all have our own personal version of the "you are the most beautiful thing in the world".<|endoftext|> 
<|showerthought|>The most important part of a good game of chess is to play it wrong<|endoftext|> 
<|showerthought|>If everyone had a different set of eyes, then we would have a lot of different perspectives of what is real.<|endoftext|> 
<|showerthought|>The reason why we don't see people wearing masks is because we are afraid of the consequences<|endoftext|> 
<|showerthought|>The more often you see someone wearing a mask the less they look like a mask<|endoftext|> 
<|showerthought|>If there was a cure to cancer then there would be more cancer cases<|endoftext|> 
<|showerthought|>It is probably a good thing that the average person has no way of seeing themselves in a mirror.<|endoftext|> 
<|showerthought|>Coffins are the only things you can throw away.<|endoftext|> 
<|showerthought|>People are more likely to buy a new car than a brand new car. But they are more likely to buy a brand new TV.<|endoftext|> 
<|showerthought|>The reason people hate the word ‘dick’ is because they don’t know what it is.<|endoftext|> 
<|showerthought|>Every single person on Earth is a descendant from a single person.<|endoftext|> 
<|showerthought|>The word "bald" is a combination of "bald" and "beard"<|endoftext|> 
<|showerthought|>In an alternative universe the world's most famous person is a person who is famous for being famous<|endoftext|> 
<|showerthought|>If you're a guy, it's probably easier to be gay than straight. If you're a girl it's probably easier to be gay than straight.<|endoftext|> 
<|showerthought|>If a person has a bad day, they are probably just having an awesome day<|endoftext|> 
<|showerthought|>If the first human to walk on the moon was a woman, the next one will be a man.<|endoftext|> 
<|showerthought|>The real power of a good book is that you can never get it wrong.<|endoftext|> 
<|showerthought|>Every one of your ancestors have been in a relationship with someone that you’re in a relationship with<|endoftext|> 
<|showerthought|>Since the brain is the only organ that has to be constantly working, the brain is probably the one that has to be the most productive organ.<|endoftext|> 
<|showerthought|>The word "dumb" has become the most common word in the English language.<|endoftext|> 
<|showerthought|>The first human to die from a gunshot wound was probably the first human to die from a gunshot wound.<|endoftext|> 
<|showerthought|>A lot of people are going to die in the next decade.<|endoftext|> 
<|showerthought|>The reason we have to wear a mask in public is because we are scared of what others might think.<|endoftext|> 
<|showerthought|>Cereal is a soup.<|endoftext|> 
<|showerthought|>We can’t see the past because the light from the sun is reflected back.<|endoftext|> 
<|showerthought|>Your brain is the only part of your body you don't know how to operate<|endoftext|> 
<|showerthought|>You’re not a person, you’re a machine.<|endoftext|> 
<|showerthought|>Your phone is a remote control for your brain<|endoftext|> 
<|showerthought|>If you have to be a good liar, then you are probably a bad liar<|endoftext|> 
<|showerthought|>All food will taste better if you eat it cold, because the heat from the air is dissipated by cold air.<|endoftext|> 
<|showerthought|>Dogs are the only animals that have to be trained to be domesticated.<|endoftext|> 
<|showerthought|>Some dogs have been born with their eyes closed for their entire lives.<|endoftext|> 
<|showerthought|>The difference between a person who is in love with a girl who is in love with a girl is a lot less when you consider how much you love them.<|endoftext|> 
<|showerthought|>Dinosaurs probably had a better sense of taste than humans<|endoftext|> 
<|showerthought|>All of us were born in a hospital.<|endoftext|> 
<|showerthought|>The average human is closer to the moon than to the earth.<|endoftext|> 
<|showerthought|>Someday, the next generation will look back on us as the first generation that didn't understand the internet<|endoftext|> 
<|showerthought|>We are all the same species.<|endoftext|> 
<|showerthought|>Saying “it’s a shame” is the most insulting thing a parent can say to their child. It’s a statement about how they’re not happy with their child’s behaviour.<|endoftext|> 
<|showerthought|>In the Star Wars universe, the Mandalorian would have had to be a Mandalorian to be able to wear a Mandalorian mask.<|endoftext|> 
<|showerthought|>In the future, we will have to be careful not to use a smartphone in public places.<|endoftext|> 
<|showerthought|>If you have a good enough sense of smell you could smell a person’s fart and know exactly what’s in their mouth<|endoftext|> 
<|showerthought|>You can't see your reflection in a mirror.<|endoftext|> 
<|showerthought|>If your parents are your best friends then you are your best friend.<|endoftext|> 
<|showerthought|>All the people who have died in the past year have died on their birthday<|endoftext|> 
<|showerthought|>Since most animals are carnivores, we’re all technically meat eaters<|endoftext|> 
<|showerthought|>Your stomach is the only place where you can eat a whole meal without feeling full.<|endoftext|> 
<|showerthought|>The more you learn about a topic, the less you know about it.<|endoftext|> 
<|showerthought|>The more you think about it, the more likely it is that you are not alone<|endoftext|> 
<|showerthought|>There are probably a lot of people who are really good at the game but don't know how to play it.<|endoftext|> 
<|showerthought|>If the sun is a big red ball, and the earth is a big blue ball, then the earth is a big red ball.<|endoftext|> 
<|showerthought|>In a world where the average person is a millionaire and a billionaire is an average person, it's weird to see billionaires as the average person.<|endoftext|> 
<|showerthought|>When you’re young, you don’t realize how much you’re going to miss the people you grew up with. When you’re old, you don’t realize how much you’re going to miss people you grew up with.<|endoftext|> 
<|showerthought|>Some people only like to watch porn because they don’t want to be in the porn.<|endoftext|> 
<|showerthought|>There’s a good chance that at least one of your ancestors has been a serial killer.<|endoftext|> 
<|showerthought|>When you take a shit, you are literally taking the last drop of your pee<|endoftext|> 
<|showerthought|>The number of people who have seen the inside of their parents' vagina is probably higher than the number of people that have seen their parents' anus.<|endoftext|> 
<|showerthought|>If a man is born blind and can't see, he's probably a sociopath<|endoftext|> 
<|showerthought|>If the moon is the sun's reflection, then the sun and the moon are the sun's reflection and the moon is the reflection.<|endoftext|> 
<|showerthought|>It’s not that we are stupid. The problem is that we are not smart enough.<|endoftext|> 
<|showerthought|>A broken clock is right twice a day.<|endoftext|> 
<|showerthought|>Saying your favorite song is your "favorite song of the year" is a compliment, but saying your favorite song is your "favorite of the year" is an insult.<|endoftext|> 
<|showerthought|>When people ask you to do something you don't know how, it's usually a good thing. When people ask you to do something you know how it's usually a bad thing.<|endoftext|> 
<|showerthought|>If there is a way to get rid of your hair, you can probably do it.<|endoftext|> 
<|showerthought|>You can’t really tell how good a movie is until it is on a streaming service.<|endoftext|> 
<|showerthought|>If we didn’t have to pay for our own food, we’d probably have more money<|endoftext|> 
<|showerthought|>The amount of people older than you will never increase.<|endoftext|> 
<|showerthought|>We have a lot of problems but we are the ones who are the most capable to solve them<|endoftext|> 
<|showerthought|>In the Star Wars universe, if the Death Star is destroyed, there's no way of knowing who's responsible for it.<|endoftext|> 
<|showerthought|>If we could travel at the speed of light, we would never be able to see the past or future.<|endoftext|> 
<|showerthought|>You can probably guess the answer to the question “What is the most common question asked in the world?” from the answers given in “What is the most common question asked in the world”.<|endoftext|> 
<|showerthought|>It’s not a bad thing that the human body can’t be turned off and on again, it’s a bad thing that it can.<|endoftext|> 
<|showerthought|>If you think you're an asshole, you're actually an asshole<|endoftext|> 
<|showerthought|>A person can't have a good life, but a person can't have a bad life.<|endoftext|> 
<|showerthought|>If you want to know how to make a good friend, you need to know how to make a bad one.<|endoftext|> 
<|showerthought|>We have a lot of things that we don't know about the world, and yet we don't know anything about the world<|endoftext|> 
<|showerthought|>No one knows how to spell "bitch"<|endoftext|> 
<|showerthought|>The reason why people are afraid to go outside and see the world is because they are afraid of being judged by others<|endoftext|> 
<|showerthought|>If the Earth is flat, then there is a chance that there is a planet out there that is the same size or even bigger than earth.<|endoftext|> 
<|showerthought|>Cats probably think we’re the only ones who can see them through their eyes<|endoftext|> 
<|showerthought|>If you're a man, the only reason you don't have a wife is that you don't want to have kids.<|endoftext|> 
<|showerthought|>Sperm is the only thing that is considered disgusting<|endoftext|> 
<|showerthought|>If humans could see the past and the future we'd probably be very confused<|endoftext|> 
<|showerthought|>When they finally get rid of all the dead people on the planet, they’ll be able to look at their own corpses.<|endoftext|> 
<|showerthought|>When you are young, your parents have a lot of responsibility for you. When you are old, your parents are the ones who have the responsibility for you.<|endoftext|> 
<|showerthought|>When we see the word “trouble” in a sentence, we’re actually just saying “it’s bad luck”.<|endoftext|> 
<|showerthought|>If the sun were a big ball, the Earth would probably be the center of the galaxy<|endoftext|> 
<|showerthought|>All of the things you have done in your life that you’ve never thought about are probably in someone’s mind somewhere.<|endoftext|> 
<|showerthought|>Coffee and tea are the opposite of coffee and tea<|endoftext|> 
<|showerthought|>The most dangerous part about being a kid is that no one ever talks about it.<|endoftext|> 
<|showerthought|>A woman has a better chance to get pregnant if she has an STD than if she doesn’t have an STD.<|endoftext|> 
<|showerthought|>When someone makes a mistake, they're just trying to make the world a better place.<|endoftext|> 
<|showerthought|>Every single person who’s lived in a house that’s been built on a mountain has been inside the house at least once<|endoftext|> 
<|showerthought|>The reason why people are afraid of ghosts is because they are afraid of the things they can’t see<|endoftext|> 
<|showerthought|>If someone says “I'm not going to tell anyone”, they're lying.<|endoftext|> 
<|showerthought|>If we all just agreed to not have kids, there'd be a lot less people having kids<|endoftext|> 
<|showerthought|>People don't like the fact that you have to pay to use the internet, yet it is one of the most common things you do online.<|endoftext|> 
<|showerthought|>When someone says "you're not alone", they're not alone in the world. They're also not alone in the universe.<|endoftext|> 
<|showerthought|>Dentists probably get a lot of people's teeth stuck in their mouth.<|endoftext|> 
<|showerthought|>A single cell is a single cell, a double cell is a double cell, a triple cell is a triple cell, a quadruple cell is a quadruple cell, and a quadruple quadruple is a quadruple quadruple.<|endoftext|> 
<|showerthought|>All of these things are probably going on because the people who are trying to get you to do things are the same ones who are the most likely to get you to do them<|endoftext|> 
<|showerthought|>All animals are born blind.<|endoftext|> 
<|showerthought|>It's easier to find a job that pays more than minimum wage than minimum wage<|endoftext|> 
<|showerthought|>Dying at a young age is the ultimate "you're not old until you die"<|endoftext|> 
<|showerthought|>If you were born in the year 2000, you are technically older than your parents.<|endoftext|> 
<|showerthought|>The more you think about how you look, the more you realize you look like a different person.<|endoftext|> 
<|showerthought|>We are constantly trying to find new ways to kill our pets. But we are also constantly trying to keep our pets from killing us.<|endoftext|> 
<|showerthought|>Cats and dogs have a lot in common, but they are not the same<|endoftext|> 
<|showerthought|>The only part of your body that you can't see is the inside of your mouth<|endoftext|> 
<|showerthought|>Dogs that bark at humans are barking at their owners.<|endoftext|> 
<|showerthought|>Sitting on the couch and having a conversation with yourself is a good way to know if you are being sarcastic or serious.<|endoftext|> 
<|showerthought|>It’s a good thing that we can’t see our reflection in the mirror.<|endoftext|> 
<|showerthought|>If you have a dog, you’re probably the dog’s owner. If you have a cat, you’re probably the cat’s owner<|endoftext|> 
<|showerthought|>If the word ‘cringe’ is used to describe something, then ‘cringe’ is cringe.<|endoftext|> 
<|showerthought|>In the future, people will have to wear masks when they go outside<|endoftext|> 
<|showerthought|>People who claim they don't like to eat spicy foods are actually the ones who are allergic to spicy foods.<|endoftext|> 
<|showerthought|>The number of people older than you never increases<|endoftext|> 
<|showerthought|>The fact that you have to be a certain age to be allowed to buy a lottery ticket is a paradox.<|endoftext|> 
<|showerthought|>If you’re a man and you’re a virgin, your penis is the first thing you’ve seen in your entire life.<|endoftext|> 
<|showerthought|>In an instant, you’re a millionaire.<|endoftext|> 
<|showerthought|>The only way to get rid of a bad smell is by using a bad smell.<|endoftext|> 
<|showerthought|>The more money you make the less money you have<|endoftext|> 
<|showerthought|>People who are afraid of heights probably don’t know what they’re looking for<|endoftext|> 
<|showerthought|>It’s not the number of times you’ve seen the same person that makes you think they’re a different person, it’s how you’ve seen them.<|endoftext|> 
<|showerthought|>In a few years, we will have a generation that will have no idea how to spell "bitch"<|endoftext|> 
<|showerthought|>Cats probably think we're the reason we have a belly button<|endoftext|> 
<|showerthought|>The only thing that makes you feel good about your body is the fact that you are a human<|endoftext|> 
<|showerthought|>Most children grow up to be the parents of their children<|endoftext|> 
<|showerthought|>The most important part of being an athlete is that they are good at what they do.<|endoftext|> 
<|showerthought|>Cancer and heart disease are the most common forms of death.<|endoftext|> 
<|showerthought|>You can only have a dream about your dream.<|endoftext|> 
<|showerthought|>There is probably a person who has the most unique voice in the world<|endoftext|> 
<|showerthought|>It would really suck if the world ended tomorrow and we all just had to live in a world of our own.<|endoftext|> 
<|showerthought|>It's hard to imagine how you would feel if you could just walk into a room and everyone was dead.<|endoftext|> 
<|showerthought|>If a man has a wife who is pregnant with his child, the baby is technically a son of his father.<|endoftext|> 
<|showerthought|>The more you think about it, the more you’ve probably done something that was a crime<|endoftext|> 
<|showerthought|>There isn't a single word that rhymes with ‘sneak’.<|endoftext|> 
<|showerthought|>If your friends are your family, then your family are your friends.<|endoftext|> 
<|showerthought|>There’s probably someone out there who’s the only person who’s ever been inside of a vagina<|endoftext|> 
<|showerthought|>If you have a good idea, you can't be too good, but if you have a bad idea, you can't be too bad.<|endoftext|> 
<|showerthought|>When you have to go to the gym, you are technically working your ass off.<|endoftext|> 
<|showerthought|>A great big number of people have probably never been to space<|endoftext|> 
<|showerthought|>People like to think of themselves as the smartest people, but most of the smart people don't think of themselves as the smartest people.<|endoftext|> 
<|showerthought|>People don't know how to spell'sneak peak'<|endoftext|> 
<|showerthought|>Most movies and shows have the main characters being the same person for decades, but in reality, they’re very different people<|endoftext|> 
<|showerthought|>Since humans are so good at hiding their faces, there must be some kind of facial recognition system that we can use to identify ourselves in the future.<|endoftext|> 
<|showerthought|>We always assume that the person who invented the wheel was a genius.<|endoftext|> 
<|showerthought|>There are a lot of people who don't know what a "pussy" or a "pussycat" are.<|endoftext|> 
<|showerthought|>It’s not a good thing to be a bad person, it’s a good thing not to be a good person.<|endoftext|> 
<|showerthought|>If we don’t get to know what we’re missing out on, we’ll never get to know what it’s like to be missing out.<|endoftext|> 
<|showerthought|>It's not that you don't know what you don't know, it's that you know what you know but don't know what you don't know.<|endoftext|> 
<|showerthought|>You can tell how much money someone has by how much they can afford to buy something with.<|endoftext|> 
<|showerthought|>A lot of people don’t know that there are people who are more than a decade older than them<|endoftext|> 
<|showerthought|>Most people don't realize they have a brain tumor until it starts affecting their ability to function.<|endoftext|> 
<|showerthought|>Some people are so good at their jobs that they don't even know they're bad at their jobs, but they still do it anyway<|endoftext|> 
<|showerthought|>The most common thing you see on the internet is the word 'porn'.<|endoftext|> 
<|showerthought|>If we ever colonize Mars, the people who live there will probably be the only humans on the planet who don’t know about the other humans on Mars.<|endoftext|> 
<|showerthought|>There are a lot of people who have been in a car accident and have not realized it.<|endoftext|> 
<|showerthought|>If a woman gets a blow job from a man, she’s technically a blowjob slave.<|endoftext|> 
<|showerthought|>We've seen more naked people than we've seen people with their pants down<|endoftext|> 
<|showerthought|>When you hear the word “blessed” it’s usually in the context of someone who’s been blessed, but when you hear it in the context of someone who’s been cursed, it usually isn’t.<|endoftext|> 
<|showerthought|>There’s a good chance that at one point in your life you’ve seen someone who was a celebrity, but they’ve never seen you<|endoftext|> 
<|showerthought|>The more we know about the universe, the more it seems like we're living in an alternate timeline.<|endoftext|> 
<|showerthought|>If you had a pet that was the exact same age as you, they would probably think you were the same age as them<|endoftext|> 
<|showerthought|>Your dog's favorite color is orange.<|endoftext|> 
<|showerthought|>You can’t be an adult without being an adult at least once<|endoftext|> 
<|showerthought|>There is no way of proving that a person has never had sex before, but we all have sex with a condom.<|endoftext|> 
<|showerthought|>If we had a way to see the future, we would have no way to predict what the next day will bring.<|endoftext|> 
<|showerthought|>There is a possibility that you are a celebrity in someone’s life, but you’ve never seen them in real life<|endoftext|> 
<|showerthought|>Most people’s favorite color is black.<|endoftext|> 
<|showerthought|>The most popular and popular songs are the most hated and hated songs are the most popular<|endoftext|> 
<|showerthought|>The most likely scenario for a human being to have a dream about you is that you have died and they are the one who wakes up from the dream and you are the one who is dead<|endoftext|> 
<|showerthought|>Most people will never have a chance to see the inside of their own body<|endoftext|> 
<|showerthought|>If you don't know how the world works, you can't be a good person<|endoftext|> 
<|showerthought|>There’s probably more than one way to cut a pizza.<|endoftext|> 
<|showerthought|>It is very likely that you will have been a part of a murder scene in a movie, TV show, or game that has been shown to be false.<|endoftext|> 
<|showerthought|>If someone is a virgin and they get married, they’re a serial killer.<|endoftext|> 
<|showerthought|>You can technically make a sandwich out of any meat you want<|endoftext|> 
<|showerthought|>If we ever colonize Mars, the people who live there will have to be the most technologically advanced people on earth.<|endoftext|> 
<|showerthought|>You can be the smartest person on Earth but still be a dumbass.<|endoftext|> 
<|showerthought|>If you get a haircut you’re getting your haircut<|endoftext|> 
<|showerthought|>We have so much to do, yet we don’t have a single day to do it all.<|endoftext|> 
<|showerthought|>Since your body is made of cells, there is always a chance that you have been the cause of someone's death.<|endoftext|> 
<|showerthought|>It's impossible to know if the universe is infinite or not.<|endoftext|> 
<|showerthought|>Someday in the distant future there will be a generation of kids that will never see the original Ghostbusters.<|endoftext|> 
<|showerthought|>There is nothing stopping you from having a child with your best mate.<|endoftext|> 
<|showerthought|>A lot of people are going to have to learn a whole new way of saying “fuck you”<|endoftext|> 
<|showerthought|>Saying "I don't know" is the same as "I don't know what to say"<|endoftext|> 
<|showerthought|>No matter how good or bad the person you are with is, you will always have a better chance of being with them if you are with them in the first place<|endoftext|> 
<|showerthought|>You know you’ve made it when your car keys don’t work.<|endoftext|> 
<|showerthought|>We all have the same birthday.<|endoftext|> 
<|showerthought|>Doorbell rings are the only things you can use as a sign of trust<|endoftext|> 
<|showerthought|>When they get a baby it is a miracle that the parents don't get pregnant.<|endoftext|> 
<|showerthought|>There is more than one type of person who has never had sex with a dog<|endoftext|> 
<|showerthought|>When you look at a star you are seeing it in the past.<|endoftext|> 
<|showerthought|>There is a possibility that you’ve been in a dream that you’ve never been in<|endoftext|> 
<|showerthought|>A lot of people are probably going to be surprised to learn that the average human has less than 1,000 bones.<|endoftext|> 
<|showerthought|>A good portion of the population is probably unaware of how much of their body they are actually covered in.<|endoftext|> 
<|showerthought|>We've gone from the idea that a person is a good liar to the idea that they are a good liar<|endoftext|> 
<|showerthought|>You will never be able to see your own face, you only see reflections of what it looks like<|endoftext|> 
